,home_team_api_id,away_team_api_id,date,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,8524,8551,2008-08-31 00:00:00,789.0,802.0,17.509999999999998,26.86,36.01,1,0,0
0,8455,8586,2008-08-31 00:00:00,927.0,866.0,12.55,37.44,74.25,0,1,0
0,6601,10228,2008-08-31 00:00:00,509.0,760.0,34.4,30.449999999999996,16.44,0,0,1
0,10229,9761,2008-08-31 00:00:00,759.0,713.0,15.379999999999999,30.9,38.76,0,0,1
0,10192,9956,2008-08-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,8533,8690,2008-08-31 00:00:00,780.0,778.0,19.0,26.68,31.099999999999998,1,0,0
0,9823,8177,2008-08-31 00:00:00,896.0,804.0,12.439999999999998,37.050000000000004,68.6,1,0,0
0,8535,9885,2008-08-31 00:00:00,867.0,901.0,23.599999999999998,26.6,23.770000000000003,0,1,0
0,8564,9857,2008-08-31 00:00:00,902.0,769.0,11.63,40.7,90.2,0,0,1
0,8686,9875,2008-08-31 00:00:00,897.0,825.0,13.809999999999999,30.649999999999995,57.3,0,1,0
0,8371,10205,2008-08-31 00:00:00,770.0,854.0,25.07,28.7,21.33,0,1,0
0,10269,9904,2008-08-31 00:00:00,842.0,738.0,15.48,31.0,40.46,1,0,0
0,9791,10235,2008-08-31 00:00:00,636.0,708.0,37.41,30.25,15.810000000000002,1,0,0
0,7955,9824,2008-08-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,9783,8633,2008-08-31 00:00:00,812.0,907.0,31.1,29.3,18.1,1,0,0
0,8696,8302,2008-08-31 00:00:00,802.0,868.0,24.4,29.150000000000002,21.61,0,1,0
0,8388,8634,2008-08-31 00:00:00,634.0,938.0,58.95,33.65,13.379999999999999,1,0,0
0,9991,9986,2008-08-31 00:00:00,0.0,0.0,14.93,30.9,41.199999999999996,1,0,0
0,9999,9985,2008-08-31 00:00:00,0.0,0.0,44.6,31.800000000000004,14.379999999999999,0,1,0
0,8639,9827,2008-08-31 00:00:00,816.0,847.0,24.02,26.229999999999997,23.750000000000004,1,0,0
0,9853,9748,2008-08-31 00:00:00,819.0,880.0,28.6,26.86,20.049999999999997,0,0,1
0,9941,9851,2008-08-31 00:00:00,697.0,786.0,21.759999999999998,26.259999999999998,26.349999999999998,0,1,0
0,8020,8673,2008-08-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9925,8548,2008-08-31 00:00:00,836.0,804.0,18.05,28.849999999999998,30.85,0,0,1
0,7992,6421,2008-08-31 00:00:00,0.0,0.0,17.75,24.400000000000002,24.200000000000003,0,0,1
0,10215,7841,2008-08-31 00:00:00,0.0,0.0,15.21,25.3,29.9,1,0,0
0,10214,9809,2008-08-31 00:00:00,0.0,0.0,14.48,25.55,32.73,1,0,0
0,10252,8650,2008-08-31 00:00:00,867.0,898.0,26.2,28.849999999999998,21.209999999999997,0,1,0
0,10238,10213,2008-08-31 00:00:00,0.0,0.0,14.180000000000001,25.85,34.68,1,0,0
0,9804,9888,2008-08-31 00:00:00,815.0,777.0,16.080000000000002,27.849999999999998,41.43,1,0,0
0,2186,10265,2008-08-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,9906,9864,2008-08-31 00:00:00,879.0,694.0,12.94,34.55,65.45,1,0,0
0,8315,9865,2008-08-31 00:00:00,656.0,793.0,17.53,28.75,33.3,0,0,1
0,8603,8479,2008-08-31 00:00:00,780.0,800.0,16.61,29.05,36.9,0,0,1
0,9869,8305,2008-08-31 00:00:00,669.0,838.0,22.6,28.499999999999996,23.619999999999997,0,0,1
0,8529,8543,2008-08-31 00:00:00,807.0,840.0,24.52,26.3,23.270000000000003,0,0,1
0,8472,8456,2008-08-31 00:00:00,751.0,771.0,19.95,28.849999999999998,28.75,0,0,1
0,8530,10233,2008-08-31 00:00:00,811.0,748.0,20.749999999999996,26.379999999999995,27.830000000000002,1,0,0
0,10264,9768,2008-09-01 00:00:00,0.0,0.0,28.200000000000003,27.750000000000004,19.55,0,0,1
0,10212,7844,2008-09-01 00:00:00,0.0,0.0,20.75,27.200000000000003,26.25,0,0,1
0,10243,6493,2008-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,1601,2186,2008-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10228,9791,2008-09-12 00:00:00,0.0,0.0,12.28,38.150000000000006,65.25,0,1,0
0,8244,1957,2008-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9931,10199,2008-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10217,10229,2008-09-13 00:00:00,0.0,0.0,32.05,30.65,16.89,1,0,0
0,8031,2183,2008-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,8030,8242,2008-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8548,8597,2008-09-13 00:00:00,810.0,696.0,11.23,44.8,93.0,1,0,0
0,9927,9925,2008-09-13 00:00:00,750.0,824.0,44.05,31.25,14.72,0,0,1
0,10251,9938,2008-09-13 00:00:00,719.0,725.0,20.05,29.0,26.310000000000002,1,0,0
